                                 List of relations
       Schema       |                 Name                 |    Type     |  Owner   
--------------------+--------------------------------------+-------------+----------
 information_schema | sql_features                         | table       | postgres
 information_schema | sql_implementation_info              | table       | postgres
 information_schema | sql_parts                            | table       | postgres
 information_schema | sql_sizing                           | table       | postgres
 pg_catalog         | pg_aggregate                         | table       | postgres
 pg_catalog         | pg_am                                | table       | postgres
 pg_catalog         | pg_amop                              | table       | postgres
 pg_catalog         | pg_amproc                            | table       | postgres
 pg_catalog         | pg_attrdef                           | table       | postgres
 pg_catalog         | pg_attribute                         | table       | postgres
 pg_catalog         | pg_auth_members                      | table       | postgres
 pg_catalog         | pg_authid                            | table       | postgres
 pg_catalog         | pg_cast                              | table       | postgres
 pg_catalog         | pg_class                             | table       | postgres
 pg_catalog         | pg_collation                         | table       | postgres
 pg_catalog         | pg_constraint                        | table       | postgres
 pg_catalog         | pg_conversion                        | table       | postgres
 pg_catalog         | pg_database                          | table       | postgres
 pg_catalog         | pg_db_role_setting                   | table       | postgres
 pg_catalog         | pg_default_acl                       | table       | postgres
 pg_catalog         | pg_depend                            | table       | postgres
 pg_catalog         | pg_description                       | table       | postgres
 pg_catalog         | pg_enum                              | table       | postgres
 pg_catalog         | pg_event_trigger                     | table       | postgres
 pg_catalog         | pg_extension                         | table       | postgres
 pg_catalog         | pg_foreign_data_wrapper              | table       | postgres
 pg_catalog         | pg_foreign_server                    | table       | postgres
 pg_catalog         | pg_foreign_table                     | table       | postgres
 pg_catalog         | pg_index                             | table       | postgres
 pg_catalog         | pg_inherits                          | table       | postgres
 pg_catalog         | pg_init_privs                        | table       | postgres
 pg_catalog         | pg_language                          | table       | postgres
 pg_catalog         | pg_largeobject                       | table       | postgres
 pg_catalog         | pg_largeobject_metadata              | table       | postgres
 pg_catalog         | pg_namespace                         | table       | postgres
 pg_catalog         | pg_opclass                           | table       | postgres
 pg_catalog         | pg_operator                          | table       | postgres
 pg_catalog         | pg_opfamily                          | table       | postgres
 pg_catalog         | pg_parameter_acl                     | table       | postgres
 pg_catalog         | pg_partitioned_table                 | table       | postgres
 pg_catalog         | pg_policy                            | table       | postgres
 pg_catalog         | pg_proc                              | table       | postgres
 pg_catalog         | pg_publication                       | table       | postgres
 pg_catalog         | pg_publication_namespace             | table       | postgres
 pg_catalog         | pg_publication_rel                   | table       | postgres
 pg_catalog         | pg_range                             | table       | postgres
 pg_catalog         | pg_replication_origin                | table       | postgres
 pg_catalog         | pg_rewrite                           | table       | postgres
 pg_catalog         | pg_seclabel                          | table       | postgres
 pg_catalog         | pg_sequence                          | table       | postgres
 pg_catalog         | pg_shdepend                          | table       | postgres
 pg_catalog         | pg_shdescription                     | table       | postgres
 pg_catalog         | pg_shseclabel                        | table       | postgres
 pg_catalog         | pg_statistic                         | table       | postgres
 pg_catalog         | pg_statistic_ext                     | table       | postgres
 pg_catalog         | pg_statistic_ext_data                | table       | postgres
 pg_catalog         | pg_subscription                      | table       | postgres
 pg_catalog         | pg_subscription_rel                  | table       | postgres
 pg_catalog         | pg_tablespace                        | table       | postgres
 pg_catalog         | pg_transform                         | table       | postgres
 pg_catalog         | pg_trigger                           | table       | postgres
 pg_catalog         | pg_ts_config                         | table       | postgres
 pg_catalog         | pg_ts_config_map                     | table       | postgres
 pg_catalog         | pg_ts_dict                           | table       | postgres
 pg_catalog         | pg_ts_parser                         | table       | postgres
 pg_catalog         | pg_ts_template                       | table       | postgres
 pg_catalog         | pg_type                              | table       | postgres
 pg_catalog         | pg_user_mapping                      | table       | postgres
 pg_toast           | pg_toast_1213                        | TOAST table | postgres
 pg_toast           | pg_toast_1247                        | TOAST table | postgres
 pg_toast           | pg_toast_1255                        | TOAST table | postgres
 pg_toast           | pg_toast_1260                        | TOAST table | postgres
 pg_toast           | pg_toast_1262                        | TOAST table | postgres
 pg_toast           | pg_toast_13457                       | TOAST table | postgres
 pg_toast           | pg_toast_13462                       | TOAST table | postgres
 pg_toast           | pg_toast_13467                       | TOAST table | postgres
 pg_toast           | pg_toast_13472                       | TOAST table | postgres
 pg_toast           | pg_toast_1417                        | TOAST table | postgres
 pg_toast           | pg_toast_1418                        | TOAST table | postgres
 pg_toast           | pg_toast_16390                       | TOAST table | postgres
 pg_toast           | pg_toast_16452                       | TOAST table | postgres
 pg_toast           | pg_toast_16503                       | TOAST table | postgres
 pg_toast           | pg_toast_16532                       | TOAST table | postgres
 pg_toast           | pg_toast_16539                       | TOAST table | postgres
 pg_toast           | pg_toast_16554                       | TOAST table | postgres
 pg_toast           | pg_toast_16563                       | TOAST table | postgres
 pg_toast           | pg_toast_16571                       | TOAST table | postgres
 pg_toast           | pg_toast_16594                       | TOAST table | postgres
 pg_toast           | pg_toast_16681                       | TOAST table | postgres
 pg_toast           | pg_toast_16688                       | TOAST table | postgres
 pg_toast           | pg_toast_16696                       | TOAST table | postgres
 pg_toast           | pg_toast_16704                       | TOAST table | postgres
 pg_toast           | pg_toast_16713                       | TOAST table | postgres
 pg_toast           | pg_toast_16829                       | TOAST table | postgres
 pg_toast           | pg_toast_16845                       | TOAST table | postgres
 pg_toast           | pg_toast_16855                       | TOAST table | postgres
 pg_toast           | pg_toast_16875                       | TOAST table | postgres
 pg_toast           | pg_toast_16901                       | TOAST table | postgres
 pg_toast           | pg_toast_2328                        | TOAST table | postgres
 pg_toast           | pg_toast_2396                        | TOAST table | postgres
 pg_toast           | pg_toast_2600                        | TOAST table | postgres
 pg_toast           | pg_toast_2604                        | TOAST table | postgres
 pg_toast           | pg_toast_2606                        | TOAST table | postgres
 pg_toast           | pg_toast_2609                        | TOAST table | postgres
 pg_toast           | pg_toast_2612                        | TOAST table | postgres
 pg_toast           | pg_toast_2615                        | TOAST table | postgres
 pg_toast           | pg_toast_2618                        | TOAST table | postgres
 pg_toast           | pg_toast_2619                        | TOAST table | postgres
 pg_toast           | pg_toast_2620                        | TOAST table | postgres
 pg_toast           | pg_toast_2964                        | TOAST table | postgres
 pg_toast           | pg_toast_3079                        | TOAST table | postgres
 pg_toast           | pg_toast_3118                        | TOAST table | postgres
 pg_toast           | pg_toast_3256                        | TOAST table | postgres
 pg_toast           | pg_toast_3350                        | TOAST table | postgres
 pg_toast           | pg_toast_3381                        | TOAST table | postgres
 pg_toast           | pg_toast_3394                        | TOAST table | postgres
 pg_toast           | pg_toast_3429                        | TOAST table | postgres
 pg_toast           | pg_toast_3456                        | TOAST table | postgres
 pg_toast           | pg_toast_3466                        | TOAST table | postgres
 pg_toast           | pg_toast_3592                        | TOAST table | postgres
 pg_toast           | pg_toast_3596                        | TOAST table | postgres
 pg_toast           | pg_toast_3600                        | TOAST table | postgres
 pg_toast           | pg_toast_6000                        | TOAST table | postgres
 pg_toast           | pg_toast_6100                        | TOAST table | postgres
 pg_toast           | pg_toast_6106                        | TOAST table | postgres
 pg_toast           | pg_toast_6243                        | TOAST table | postgres
 pg_toast           | pg_toast_826                         | TOAST table | postgres
 public             | auth_group                           | table       | postgres
 public             | auth_group_permissions               | table       | postgres
 public             | auth_permission                      | table       | postgres
 public             | authentication_user                  | table       | postgres
 public             | authentication_user_groups           | table       | postgres
 public             | authentication_user_user_permissions | table       | postgres
 public             | courses_certification                | table       | postgres
 public             | courses_coursechapter                | table       | postgres
 public             | courses_coursesection                | table       | postgres
 public             | courses_engineeringcourse            | table       | postgres
 public             | courses_learningactivity             | table       | postgres
 public             | courses_lesson                       | table       | postgres
 public             | courses_lessonresource               | table       | postgres
 public             | courses_prolearningcourse            | table       | postgres
 public             | courses_prolearningquizquestion      | table       | postgres
 public             | courses_prolearningresource          | table       | postgres
 public             | courses_prolearningtopic             | table       | postgres
 public             | courses_prolearningvideo             | table       | postgres
 public             | courses_quizquestion                 | table       | postgres
 public             | courses_quizresult                   | table       | postgres
 public             | courses_schoolcourse                 | table       | postgres
 public             | courses_userlessonprogress           | table       | postgres
 public             | courses_userstartedpredefinedcourse  | table       | postgres
 public             | django_admin_log                     | table       | postgres
 public             | django_content_type                  | table       | postgres
 public             | django_migrations                    | table       | postgres
 public             | django_session                       | table       | postgres
 public             | feedback_feedback                    | table       | postgres
 public             | newsletter_newsletter                | table       | postgres
 public             | social_auth_association              | table       | postgres
 public             | social_auth_code                     | table       | postgres
 public             | social_auth_nonce                    | table       | postgres
 public             | social_auth_partial                  | table       | postgres
 public             | social_auth_usersocialauth           | table       | postgres
(161 rows)

